Block ID,Trip ID,VR ID,Bid ID,Status,Facility Sequence,Truck Filter,CPT,Is CPT Truck,Carrier,Subcarrier,CR_ID,Shipper Accounts,Equipment Type,Trailer Id,Estimated Cost,Tender Status,Driver,Vehicle ID,Stop 1,Stop 1 Yard Arrival,Stop 1 Yard Departure,Stop 2,Stop 2 Yard Arrival,Stop 2 Yard Departure,Stop 3,Stop 3 Yard Arrival,Stop 3 Yard Departure,Stop 4,Stop 4 Yard Arrival,Stop 4 Yard Departure,Stop 5,Stop 5 Yard Arrival,Stop 5 Yard Departure,Stop 6,Stop 6 Yard Arrival,Stop 6 Yard Departure,Stop 7,Stop 7 Yard Arrival,Stop 7 Yard Departure,Stop 8,Stop 8 Yard Arrival,Stop 8 Yard Departure,Stop 9,Stop 9 Yard Arrival,Stop 9 Yard Departure,Stop 10,Stop 10 Yard Arrival,Stop 10 Yard Departure,VR Creation Date Time (UTC),VR Cancellation Date Time (UTC),Transit Operator Type,Operator ID,Spot Work
,115HFSDQ4,115HFSDQ4,,PLANNED,XUKP->DWN2->DPR1,AMZL-DWN2-DPR1-ND,11/20/2022 18:00,TRUE,ADULL,,,ATSOutbound,Detached Trailer,,285.00 GBP,APPROVED,,,XUKP,11/20/2022 17:00,11/20/2022 18:30,DWN2,11/20/2022 19:30,11/20/2022 21:00,DPR1,11/20/2022 21:43,,,,,,,,,,,,,,,,,,,,,,,11/11/2022 7:19,,SINGLE_DRIVER,,No
,116S7GTY9,116S7GTY9,,PLANNED,EMA1->DNG2->DBI4,AMZL-DNG2-DBI4-ND,11/21/2022 1:30,FALSE,ADULL,,,ATSOutbound,Detached Trailer,,300.59 GBP,APPROVED,,,EMA1,11/20/2022 18:15,11/20/2022 19:45,DNG2,11/20/2022 20:00,11/20/2022 21:30,DBI4,11/20/2022 23:00,,,,,,,,,,,,,,,,,,,,,,,11/16/2022 13:43,,SINGLE_DRIVER,,No
B-LQB96KJZD,T-115MT3XS3,1139XL5K1,,PLANNED,BRS1->EMA1,,11/20/2022 23:11,FALSE,ADULL,ATSUK,DRIVER_TO_DEPART_SOLO,BobtailMovementAnnotation,Drop Trailer,,18.16 GBP,APPROVED,,,BRS1,11/20/2022 18:44,11/20/2022 19:15,EMA1,11/20/2022 23:09,,,,,,,,,,,,,,,,,,,,,,,,,,11/19/2022 3:09,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,1163C81V1,,PLANNED,EMA1->DNR1,AMZL-DNR1-ND,11/21/2022 1:00,TRUE,ADULL,ATSUK,ATS_Round-Trip,ATSOutbound,Drop Trailer,,0,APPROVED,,,EMA1,11/21/2022 0:45,11/21/2022 1:30,DNR1,11/21/2022 5:30,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/2022 11:03,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,1168T66S1,,PLANNED,DNR1->LCY2,,11/22/2022 2:31,FALSE,ADULL,ATSUK,ATS_Round-Trip,FleetManagementEquipmentRepositioning,Detached Trailer,,0,APPROVED,,,DNR1,11/21/2022 6:15,11/21/2022 6:46,LCY2,11/22/2022 2:29,,,,,,,,,,,,,,,,,,,,,,,,,,11/19/2022 3:09,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,111KYXXDZ,,PLANNED,LCY2->DRM2,AMZL-DRM2-ND,11/22/2022 4:45,FALSE,ADULL,ATSUK,ATS_Round-Trip-DD,ATSOutbound,Double Deck Trailer,,0,APPROVED,,,LCY2,11/22/2022 2:30,11/22/2022 3:15,DRM2,11/22/2022 3:30,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/2022 11:03,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,114PTGHS5,,PLANNED,DRM2->LTN4,,11/23/2022 0:46,FALSE,ADULL,ATSUK,ATS_Round-Trip,FleetManagementEquipmentRepositioning,Detached Trailer,,0,APPROVED,,,DRM2,11/22/2022 21:59,11/22/2022 22:30,LTN4,11/23/2022 0:44,,,,,,,,,,,,,,,,,,,,,,,,,,11/19/2022 3:09,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,115B4DQFB,,PLANNED,LTN4->DME1,AMZL-DME1-ND,11/23/2022 1:00,TRUE,ADULL,ATSUK,ATS_Round-Trip,ATSOutbound,Drop Trailer,,0,APPROVED,,,LTN4,11/23/2022 0:45,11/23/2022 1:30,DME1,11/23/2022 4:15,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/2022 11:32,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,1126PCNH8,,PLANNED,DME1->LPL9,,11/24/2022 2:31,FALSE,ADULL,ATSUK,ATS_Round-Trip,FleetManagementEquipmentRepositioning,Detached Trailer,,0,APPROVED,,,DME1,11/23/2022 5:00,11/23/2022 5:31,LPL9,11/24/2022 2:29,,,,,,,,,,,,,,,,,,,,,,,,,,11/19/2022 3:09,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,1112R3T36,,PLANNED,LPL9->DXM5,AMZL-DXM5-ND,11/24/2022 3:30,TRUE,ADULL,ATSUK,ATS_Round-Trip,ATSOutbound,Detached Trailer,,0,APPROVED,,,LPL9,11/24/2022 2:30,11/24/2022 4:00,DXM5,11/24/2022 4:15,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/2022 11:04,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,116PQ4W7H,,PLANNED,DXM5->EMA1,,11/25/2022 0:16,FALSE,ADULL,ATSUK,ATS_Round-Trip,FleetManagementEquipmentRepositioning,Detached Trailer,,14.10 GBP,APPROVED,,,DXM5,11/24/2022 20:29,11/24/2022 21:00,EMA1,11/25/2022 0:14,,,,,,,,,,,,,,,,,,,,,,,,,,11/19/2022 3:09,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,113X6K3C9,,PLANNED,EMA1->DBS2,AMZL-DBS2-ND,11/25/2022 0:30,TRUE,ADULL,ATSUK,ATS_Round-Trip,ATSOutbound,Drop Trailer,,0,APPROVED,,,EMA1,11/25/2022 0:15,11/25/2022 1:00,DBS2,11/25/2022 4:45,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/2022 11:33,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
B-LQB96KJZD,T-115MT3XS3,1155SH4DT,,PLANNED,DBS2->BRS1,,11/25/2022 6:10,FALSE,ADULL,ATSUK,ATS_Round-Trip,FleetManagementEquipmentRepositioning,Detached Trailer,,0,APPROVED,,,DBS2,11/25/2022 5:30,11/25/2022 6:01,BRS1,11/25/2022 6:08,,,,,,,,,,,,,,,,,,,,,,,,,,11/19/2022 3:09,,SINGLE_DRIVER,ADULL_UK-Bristol_TRAMP1_fb90d642c0,No
